"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","2930","2580","3400","2930","2580","3400","2454","2180","2620","2454","2180","2620","2866","1920","3400","2866","1920","3400","2172","1980","2400","2172","1980","2400","2866","1920","3400","2866","1920","3400"
"10000","4872","3620","5700","5322","3660","7760","3822","2080","6040","3458","1900","7660","5926","4920","7220","6646","4340","8940","2496","940","3420","2666","1340","3500","7096","3420","12660","7096","3420","12660"
"15000","10922","8600","15820","9356","6440","15080","5052","3580","7520","5942","4300","7120","10418","4920","14120","11960","10020","14100","4000","2380","6300","5146","3680","8460","10502","6420","16640","10732","4320","16740"
"20000","11888","5060","16320","14552","10500","20700","7928","5120","10600","7872","5520","14080","15164","10480","19920","15674","7920","23420","6378","3520","13880","7528","3860","10680","15968","10960","26580","12670","7400","19040"
"25000","17088","12480","22320","15954","11000","19340","9166","6760","12960","10268","7700","14900","19276","12000","33160","20092","9920","37500","7556","3360","12380","9548","4040","15760","16766","10900","22380","17696","8900","45560"
"30000","25866","18100","36320","19470","12400","25700","11070","7100","15900","12438","8960","15600","19940","11480","34180","19762","12560","28160","11844","7840","18200","10562","7320","15000","24234","14920","46300","15648","10820","18500"
"35000","30480","15760","47080","20508","9380","26480","14266","8080","18400","13084","7840","18100","20394","10880","48420","25728","16560","44620","12924","9480","19380","12678","7740","19880","23544","13240","42140","22382","15900","42760"
"40000","30268","19940","40340","16986","9740","32080","16140","10860","27200","14148","10500","22980","18532","11420","31520","25640","13840","49540","11498","6880","15700","11214","4920","18560","24156","13460","36600","18702","10400","31500"
"45000","31692","18300","47220","26630","16660","38220","15540","12940","19140","13450","8960","17540","25952","8200","59120","28188","8220","58220","14176","6440","20940","15278","10960","19900","25566","15040","50360","23524","13340","38400"
"50000","32016","13260","59000","26192","18240","41840","18517.777777777777","10760","30500","16304","11400","25300","27548","13000","57380","16064","10420","28120","13918","6440","22620","16662","12960","24640","23790","6840","59360","19682","10880","32120"
