"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"5000","166.44444444444446","116","221","166.8","116","221","160.6","76","317","160.6","76","317","167.3","110","242","167.3","110","242","121","72","193","121","72","193","167.3","110","242","167.3","110","242","193","193","193"
"10000","138.5","98","179","203.3","140","314","191","110","334","191.5","112","261","184","106","265","147.9","98","205","150.7","96","271","129","80","239","155.5","104","229","155.5","104","229","145","145","145"
"15000","157.75","98","271","138.2","93","199","151.5","76","231","185.9","96","556","178.3","134","224","162.7","114","221","145.6","82","201","135.8","94","185","167.5","141","202","157.66666666666666","114","213","88","88","88"
"20000","154.875","98","202","159.7","114","248","154","105","219","130.6","68","197","157.7","94","219","174.8","88","334","149.4","88","205","185.9","90","566","147.5","94","209","138.44444444444446","110","183","229","229","229"
"25000","152.875","118","209","146.9","100","190","172.8","122","235","151.8","72","290","147.66666666666666","90","219","151.2","66","254","140.44444444444446","84","273","145.5","95","306","171.6","103","242","162.11111111111111","105","225","92","92","92"
"30000","173.5","110","307","146.8","90","204","147.3","98","236","155.4","78","387","153.55555555555554","120","187","164.3","112","268","152.22222222222223","121","202","145.5","92","188","180.7","93","282","154.33333333333334","128","199","190","190","190"
"35000","175.25","110","258","139.3","109","176","177.9","96","449","141.6","92","198","166","114","235","148.5","106","196","176.77777777777777","82","370","144.3","88","227","141.8","108","197","137.11111111111111","80","211","118","118","118"
"40000","160.875","87","346","184.3","108","372","155.1","86","283","136.7","108","180","147.33333333333334","103","193","166","111","257","142.66666666666666","66","199","158.3","72","254","126.4","93","167","201.33333333333334","118","371","129","129","129"
"45000","151.625","113","224","152.8","86","210","142.3","102","209","136.8","90","189","177.5","152","207","169.5","130","250","195.22222222222223","122","478","172.4","107","312","153.3","98","212","143.44444444444446","98","229","193","193","193"
"50000","127.875","94","156","158.4","107","265","166.9","117","244","147.9","66","342","162.75","98","267","143.4","99","177","197.33333333333334","104","341","195","120","437","162.2","82","243","147.88888888888889","74","188","150","150","150"
