"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"5000","65.42857142857143","32","118","65.33333333333333","28","118","59.6","12","104","59.6","12","104","58.6","22","92","58.6","22","92","60","12","142","60","12","142","58.6","22","92","58.6","22","92","60","12","142"
"10000","90.57142857142857","38","132","84","54","116","71.2","28","142","65.8","14","120","81.4","34","148","78.6","46","146","87.11111111111111","12","148","62.44444444444444","18","124","76.6","56","94","76.6","56","94","49.666666666666664","12","90"
"15000","134.28571428571428","96","164","124.88888888888889","72","166","75.6","24","128","59.4","38","82","96.2","68","114","126.6","78","196","82.22222222222223","42","126","90.22222222222223","62","134","90.8","62","148","123.2","56","188","79.33333333333333","42","128"
"20000","132","98","180","139.11111111111111","90","194","72.8","34","130","74.88888888888889","20","122","105","70","158","145.4","112","190","68.66666666666667","36","108","94.22222222222223","60","196","134.4","110","190","182.4","156","218","73.33333333333333","48","90"
"25000","163","124","204","191.11111111111111","140","260","78.88888888888889","48","108","89.77777777777777","50","170","125.8","56","424","141","96","174","75.77777777777777","22","122","105.11111111111111","34","192","101.2","50","146","180.2","94","224","86","64","110"
"30000","171.33333333333334","132","208","200.66666666666666","178","224","85.11111111111111","44","128","98","38","160","138.2","80","258","167.2","116","194","85.77777777777777","34","136","90.66666666666667","28","140","187.6","116","426","204.8","138","360","95","42","202"
"35000","198.33333333333334","146","226","210.22222222222223","190","240","101.77777777777777","58","142","88.88888888888889","24","130","133","94","176","190","162","222","95.11111111111111","36","148","106","32","178","144","118","178","212","198","224","66.66666666666667","16","142"
"40000","200.66666666666666","184","212","242.88888888888889","202","438","99.11111111111111","66","146","103.11111111111111","80","146","121","58","174","215.4","182","378","91.55555555555556","60","152","88.66666666666667","56","164","190.8","166","212","208.6","196","226","86","52","126"
"45000","256","196","358","213.11111111111111","184","230","133.11111111111111","54","310","113.55555555555556","68","146","155.2","66","398","199.8","168","236","83.77777777777777","20","130","109.55555555555556","70","154","163.2","130","214","224.4","184","404","94","62","148"
"50000","208.33333333333334","186","224","221.33333333333334","188","246","112.22222222222223","46","250","124.22222222222223","68","184","144.8","96","178","195.2","172","218","102","26","144","108.88888888888889","86","172","234","174","472","233.6","206","364","124.33333333333333","74","170"
