"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"5000","361.7","55","805","361.7","55","805","329.7","15","1073","329.7","15","1073","587.4","15","1845","587.4","15","1845","457.44444444444446","15","1361","457.44444444444446","15","1361","587.4","15","1845","587.4","15","1845","188.5","80","297"
"10000","690.2","15","1809","465.4","25","1186","336.8","15","1103","612.9","0","1391","636.6","30","1505","873.7","30","2104","1037.6666666666667","0","2717","635","15","1821","643.5","60","1717","643.5","60","1717","535","65","1005"
"15000","613.8","45","1191","415.5","70","972","494.7","0","1460","568","0","2169","701.2","30","2933","1002.6","70","2677","641.7777777777778","15","1145","584.4444444444445","15","1537","664.2","40","1180","470.6","45","1787","45","15","75"
"20000","1160.6","499","2446","683.6","60","1332","422.6","0","1120","814.5","45","2695","715.8","120","1241","1067.2","75","2400","457.6666666666667","15","1552","733.8888888888889","15","1802","1254.9","120","2181","499.6","45","1703","593.5","532","655"
"25000","1125.1","75","2775","831","60","1780","637.9","0","2282","524.7","15","1141","725.4","60","2365","1645.3","594","2914","951","368","2289","517.1111111111111","15","1118","607.4","30","2187","834.8","60","2959","826","60","1592"
"30000","1148.8","75","2925","2408.4","869","3015","854.6","45","2620","740.1","0","2168","1233.5","120","2882","2047.6","592","3127","859.5555555555555","30","1752","562.4444444444445","15","1619","840.1","75","2254","2377","1517","3069","569.5","556","583"
"35000","1475.7","75","2851","2501.8","75","3096","1313.1","487","2233","1258.6","0","2491","1137.8","488","2246","1623.9","380","2926","912.3333333333334","15","2597","899.2222222222222","30","2094","904.9","75","2168","2711.6","983","4364","1692.5","561","2824"
"40000","1570.3","90","3036","2947.777777777778","2372","3105","1040.1","514","1876","1209.6","45","2468","585.3","60","2114","1785.9","75","3734","1303.6666666666667","60","3018","1483.3333333333333","548","2440","1497.3","90","2850","2770.2","2424","3017","555.5","553","558"
"45000","2117.7","642","3849","3065.3333333333335","2372","3931","1126.5","15","2798","1068.9","45","2894","949.8","75","1635","1770","608","2885","1283.3333333333333","30","2834","1586","75","2966","1336.4","45","2932","2619.3333333333335","1721","3111","881.5","622","1141"
"50000","1915.3","75","3129","2915.6666666666665","2337","3393","1132","0","2976","1319.3","55","2931","812.875","45","1519","2264.6","665","3097","1096.7777777777778","75","2327","1566.6666666666667","120","2982","2132.5","105","3625","2927.8888888888887","2192","3107","1186","75","2297"
"55000","2351.5","692","3086","3080.222222222222","1881","4096","1694.5","1084","2779","1121","0","2180","1101.125","60","2322","1794.5555555555557","679","3152","947.4444444444445","30","1637","1508.111111111111","593","3050","1207","60","3051","2925.5555555555557","2199","3173","1957","1185","2729"
"60000","2317.1","1215","3077","3092","2459","3803","1166.1","15","3066","1620.7","105","3019","1016.5","75","2273","2544.5555555555557","1132","3076","1238.6666666666667","509","2976","1627.7777777777778","30","2994","2063.1","442","3848","3092.6666666666665","2977","3190","1086","1023","1149"
"65000","2160.8","654","3441","2840","1848","3513","1407.6","634","2328","1414.5","75","3143","1040.375","60","2439","2454.4444444444443","1219","4325","947.6666666666666","60","2745","1467.75","60","2386","1461.111111111111","60","3089","2881","1829","3205","2043.5","1774","2313"
"70000","2285.4","1231","3247","3097.125","3021","3139","1298.3","75","2971","2036.9","670","2982","1480.375","60","2410","2394.777777777778","1779","3456","434.125","0","1606","1669.25","598","2827","2417","1211","3109","3334.75","2981","4608","2383","1821","2945"
"75000","2619.2","1252","4467","2990.8571428571427","2419","3436","1181.2","45","2870","1423.8","15","3111","1140.75","610","2385","1973","917","3001","1063.5","580","2786","1223.125","60","3030","2000.5","628","2961","3081.875","2883","3155","1694","1635","1753"
"80000","2262.2","1211","3840","3131.714285714286","3031","3229","1510.8","75","2934","2154.6","665","3018","1122.75","90","2848","2502","1077","4344","1275","366","2855","1608.875","30","2812","2565.625","648","3110","3279.375","2907","4204","2143.5","1221","3066"
"85000","2592.2","1302","3868","3294","2880","4606","2073.2","1160","2883","1635.9","60","3024","1402.625","75","2295","2678","1232","5076","1304.875","45","2914","1942.5","80","2977","1550.5","60","2909","3867.625","3104","5414","875","604","1146"
"90000","1986.2","1021","3103","3139.5714285714284","3080","3186","1368.7777777777778","15","2494","2062.5","1076","3007","947.125","75","1843","3623.625","2440","7218","791.1428571428571","55","2885","1356.375","45","2423","2462.875","1245","3127","3029","1797","3835","2454","1987","2921"
"95000","2440.7","1024","3245","3732.8571428571427","3071","6507","1905.888888888889","640","2903","2336.8","1179","3660","1285","15","3028","3551.875","2519","6160","1055.4285714285713","30","2804","1976.375","616","2960","1852.75","75","6159","3680.25","3015","5900","1675.5","1082","2269"
"100000","2645","1803","3725","3440.1428571428573","3052","4643","1969.2222222222222","60","3049","2087.5","45","3040","1502.5","60","2184","2884.375","1724","4679","860.1428571428571","45","2286","1693.875","75","2939","2476.25","993","3155","3072","2616","3658","2133.5","1806","2461"
"105000","2789.2","1210","4235","3389.4285714285716","2924","4795","1775.2222222222222","567","3301","1850.6","45","3034","","","","","","","","","","","","","","","","","","","","",""
"110000","2359.6","1668","3064","3285","3060","3908","1248.888888888889","75","2447","2379.1","1199","3052","","","","","","","","","","","","","","","","","","","","",""
"115000","3173.6","1713","3954","4943.428571428572","3117","7474","1594.125","75","2923","2666.1","1813","3184","","","","","","","","","","","","","","","","","","","","",""
"120000","2849.9","658","4117","3693.4285714285716","3055","6437","1996.25","598","2982","2363.5","711","3014","","","","","","","","","","","","","","","","","","","","",""
"125000","3710.6","2390","6738","3685.4285714285716","3103","4483","2107.875","567","3059","2100.4","1062","3291","","","","","","","","","","","","","","","","","","","","",""
"130000","2451.1","1295","3133","3305.4285714285716","2961","4001","1805.125","621","2680","2597","1246","3091","","","","","","","","","","","","","","","","","","","","",""
"135000","3476.9","1235","5424","3760.8571428571427","3055","4925","2269.1428571428573","1187","2962","2513.1","1909","3099","","","","","","","","","","","","","","","","","","","","",""
"140000","2657.5","1245","3667","3971.4285714285716","2144","6738","1138","598","1808","2785.5","1807","3696","","","","","","","","","","","","","","","","","","","","",""
"145000","3278.9","1874","4784","3503.4285714285716","3129","4815","1711.5714285714287","732","2369","2680.6666666666665","1289","3644","","","","","","","","","","","","","","","","","","","","",""
"150000","3228.3","1768","5594","4180.857142857143","2812","6595","1419.5714285714287","638","2251","2617.1111111111113","1826","3114","","","","","","","","","","","","","","","","","","","","",""
"155000","3333","2131","4861","4374.857142857143","2855","5786","2305.1428571428573","1155","2843","2598","1673","3862","","","","","","","","","","","","","","","","","","","","",""
"160000","3411.4","2521","4777","5029.428571428572","3092","7677","1606.2857142857142","632","2733","2658.8888888888887","1218","3145","","","","","","","","","","","","","","","","","","","","",""
"165000","4109.6","2403","6706","4965.428571428572","2682","7677","2199.8571428571427","1105","2985","2282.3333333333335","636","3097","","","","","","","","","","","","","","","","","","","","",""
"170000","4457.2","2937","7399","5272.714285714285","3091","7316","1865.7142857142858","648","2780","2624.5555555555557","1276","3322","","","","","","","","","","","","","","","","","","","","",""
"175000","4704.9","2930","7217","4664.714285714285","3091","7346","1844.2857142857142","626","2894","1938.2222222222222","90","3069","","","","","","","","","","","","","","","","","","","","",""
"180000","4211.6","2493","5818","4869.285714285715","2424","7501","2034.2857142857142","710","3454","2485.4444444444443","1787","3133","","","","","","","","","","","","","","","","","","","","",""
"185000","3995.2","2497","5138","5659","3388","7533","1966.857142857143","1134","2838","2614.8888888888887","1732","3087","","","","","","","","","","","","","","","","","","","","",""
"190000","3506.8","1860","6394","5842.571428571428","3735","9436","2051.1428571428573","613","3013","2986.6666666666665","1841","5289","","","","","","","","","","","","","","","","","","","","",""
"195000","4271.111111111111","3028","7096","5343.857142857143","3034","7456","2335.1428571428573","75","3727","2384.8888888888887","1298","3079","","","","","","","","","","","","","","","","","","","","",""
"200000","4544.555555555556","2741","6616","5481.714285714285","3935","6634","1145.7142857142858","30","2588","3088.6666666666665","2716","4138","","","","","","","","","","","","","","","","","","","","",""
