"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_1_50_5000_True - return","Job Type: PS+DQN_2agents_1_50_5000_True - return__MIN","Job Type: PS+DQN_2agents_1_50_5000_True - return__MAX"
"5000","-20.84","-21","-20.4","-20.84","-21","-20.4","-20.76","-21","-20.2","-20.759999999999998","-21","-20.2","-20.94","-21","-20.8","-20.94","-21","-20.8","-20.06","-21","-13.2","-20.060000000000002","-21","-13.2","-20.94","-21","-20.8","-18.95","-21","-13.2","-20.96","-21","-20.8","-13.2","-13.2","-13.2"
"10000","-20.52","-21","-19.8","-20.619999999999997","-21","-20.2","-20.880000000000003","-21","-20.6","-20.700000000000003","-21","-20.2","-20.580000000000002","-21","-20.2","-20.740000000000002","-21","-20.4","-20.759999999999998","-21","-20.4","-20.82","-21","-20.6","-20.7","-21","-20.4","-20.75","-20.8","-20.6","-20.6","-20.8","-20.4","-20.6","-20.6","-20.6"
"15000","-20.5","-21","-20","-20.44","-21","-20","-20.68","-21","-20.4","-20.68","-21","-19.6","-20.720000000000002","-21","-19.8","-20.700000000000003","-21","-20.4","-20.9","-21","-20.8","-20.880000000000003","-21","-20.8","-20.6","-21","-19.4","-20.85","-21","-20.6","-20.799999999999997","-21","-20.4","-21","-21","-21"
"20000","-20.6","-21","-20.2","-20.6","-21","-20","-20.860000000000003","-21","-20.4","-20.880000000000003","-21","-20.6","-20.6","-21","-20","-20.580000000000002","-21","-20","-20.2","-21","-14","-20.94","-21","-20.8","-20.419999999999998","-21","-19.2","-20.9","-21","-20.8","-20.64","-21","-20.2","-20.6","-20.6","-20.6"
"25000","-20.42","-21","-19.4","-19.92","-20.8","-18.8","-20.7","-21","-20.2","-20.619999999999997","-21","-20.2","-20.68","-21","-20.2","-20.46","-21","-19.8","-20.84","-21","-20.4","-20.880000000000003","-21","-20.8","-20.7","-21","-20.4","-20.85","-21","-20.6","-20.240000000000002","-21","-19.2","-20.4","-20.4","-20.4"
"30000","-20.46","-21","-19.8","-20.06","-21","-18","-20.68","-21","-19.4","-20.54","-20.8","-20","-20.62","-21","-20.2","-20.58","-21","-19.4","-20.82","-21","-20.6","-20.78","-21","-20.4","-20.24","-20.8","-19","-21","-21","-21","-19.8","-21","-19","-20.6","-20.6","-20.6"
"35000","-20.44","-20.8","-20","-19.92","-21","-18.2","-20.640000000000004","-21","-19.6","-20.5","-21","-19.8","-20.380000000000003","-20.8","-20","-20.380000000000003","-21","-19.6","-20.78","-21","-20.4","-20.740000000000002","-21","-20.2","-20.439999999999998","-21","-19.6","-20.85","-21","-20.6","-19.8","-21","-17.2","-21","-21","-21"
"40000","-19.96","-20.8","-19.2","-19.66","-20.8","-17.8","-20.740000000000002","-21","-19.8","-20.68","-21","-20.2","-20.419999999999998","-20.8","-19.8","-20.08","-21","-18.8","-20.740000000000002","-21","-20.2","-20.76","-21","-20.2","-19.520000000000003","-21","-12.8","-20.75","-21","-20.6","-19.48","-21","-18.4","-21","-21","-21"
"45000","-20.199999999999996","-20.8","-19.4","-19.56","-21","-17","-20.68","-21","-19.8","-20.54","-21","-19.6","-20.720000000000002","-21","-20.4","-20.220000000000002","-20.8","-19.8","-20.800000000000004","-21","-20.6","-20.800000000000004","-21","-20.6","-20.444444444444443","-20.8","-20.2","-20.599999999999998","-20.8","-20.2","-19.52","-20.6","-18.4","-20.8","-20.8","-20.8"
"50000","-19.940000000000005","-21","-18.4","-18.46","-20.2","-17","-20.6","-21","-20","-20.5","-21","-19.8","-20.560000000000002","-21","-19.8","-20.280000000000005","-21","-18.8","-20.8","-21","-20.4","-20.68","-21","-20.2","-19.777777777777782","-20.4","-18.8","-20.700000000000003","-20.8","-20.6","-19.150000000000002","-20.6","-18.4","-20.8","-20.8","-20.8"
"55000","-20.119999999999997","-20.8","-19","-19.259999999999998","-20.6","-17.2","-20.660000000000004","-21","-20","-20.52","-21","-19.8","-20.540000000000003","-20.8","-19.8","-20.2","-20.6","-19.6","-20.580000000000002","-21","-19.8","-20.720000000000002","-21","-20.2","-20.288888888888888","-21","-19.2","-20.7","-21","-20.2","-19.85","-20.6","-18.8","-21","-21","-21"
"60000","-20.119999999999997","-20.8","-18.6","-19.060000000000002","-20.6","-17.8","-20.38","-21","-19.6","-20.479999999999997","-21","-19.6","-20.660000000000004","-21","-20","-19.76","-21","-16.4","-20.54","-21","-19.6","-20.68","-21","-20.2","-19.51111111111111","-21","-17.8","-20.799999999999997","-21","-20.4","-17.95","-21","-16.2","-21","-21","-21"
"65000","-19.94","-20.8","-19.2","-19.139999999999997","-20.6","-16.8","-20.720000000000002","-21","-20","-20.400000000000002","-21","-19.8","-20.44","-20.8","-19.2","-20","-20.6","-19","-20.740000000000002","-21","-20.2","-20.619999999999997","-21","-19.6","-20.377777777777776","-21","-19.8","-20.85","-21","-20.8","-18.55","-20.8","-16.4","-20.8","-20.8","-20.8"
"70000","-20.020000000000003","-20.6","-19","-18.28","-20","-16.8","-20.359999999999996","-21","-19.6","-20.220000000000002","-20.8","-19.2","-20.54","-21","-19.2","-19.9","-21","-16.8","-20.68","-21","-19.6","-20.56","-21","-20","-19.755555555555556","-21","-19","-20.7","-20.8","-20.4","-18","-20.4","-16.6","","",""
"75000","-19.380000000000003","-20.4","-17.8","-18.58","-20.8","-16.6","-20.34","-20.8","-19.6","-20.32","-20.8","-19.6","-20.32","-21","-19","-19.68","-20.8","-16.6","-20.740000000000002","-21","-20.4","-20.619999999999997","-21","-20","-20.26666666666667","-20.6","-19.6","-20.75","-21","-20.6","-18.05","-21","-16.4","","",""
"80000","-19.8","-20.4","-19.2","-18.06","-20.2","-15.8","-20.5","-21","-20","-20.479999999999997","-21","-20","-20.4","-21","-19.4","-18.7","-21","-15.2","-20.779999999999998","-21","-20.2","-20.54","-21","-19.8","-19.53333333333333","-20.6","-17.4","-20.75","-21","-20.6","-16.8","-21","-10.8","","",""
"85000","-20.08","-20.8","-19.4","-18.26","-19.6","-16.6","-20.339999999999996","-20.8","-19.6","-20.339999999999996","-21","-18.2","-20.500000000000004","-21","-20","-19.5","-20.4","-17.6","-20.7","-21","-20.2","-20.5","-21","-20","-20.525000000000002","-21","-19.8","-20.7","-21","-20.2","-18.85","-20.8","-17.2","","",""
"90000","-19.819999999999997","-20.6","-18.4","-18","-20","-15.8","-20.28","-20.8","-19.8","-20.18","-20.8","-18.4","-20.64","-21","-19.6","-19.240000000000002","-21","-17","-20.56","-21","-20.2","-20.66","-21","-19.8","-19.425","-21","-17.6","-20.45","-20.8","-19.8","-16.5","-20.2","-13.4","","",""
"95000","-20.04","-20.6","-19.4","-18.9","-20.6","-17.2","-20.44","-21","-19.8","-20.200000000000003","-21","-19","-20.44","-21","-19.2","-19.8","-20.6","-18","-20.68","-21","-20.4","-20.740000000000002","-21","-20","-20.375","-21","-19.8","-20.933333333333334","-21","-20.8","-16.85","-20.8","-14.4","","",""
"100000","-19.9","-20.8","-18.8","-17.259999999999998","-20.6","-12","-20.6","-21","-20","-20.1","-20.8","-18.6","-20.640000000000004","-21","-20","-19.12","-21","-17.4","-20.84","-21","-20.6","-20.720000000000002","-21","-20.2","-18.825000000000003","-20.8","-17.4","-20.8","-21","-20.6","-18.35","-21","-16.6","","",""
"105000","-19.560000000000002","-20.6","-15.8","-18.64","-20.4","-17.2","-20.620000000000005","-21","-19.6","-20.54","-21","-20","","","","","","","","","","","","","","","","","","","","","","","",""
"110000","-19.900000000000002","-20.8","-18.4","-17.34","-19","-15","-20.339999999999996","-20.6","-19.8","-20.1","-20.8","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"115000","-19.6","-20.6","-18.8","-18.46","-20.8","-17.2","-20.520000000000003","-20.8","-20","-20","-20.8","-19.2","","","","","","","","","","","","","","","","","","","","","","","",""
"120000","-19.220000000000002","-20.8","-17.8","-17.279999999999998","-19.2","-14.4","-20.479999999999997","-21","-19.8","-19.82","-20.6","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"125000","-19.360000000000003","-20.8","-18","-17.9","-19.8","-16","-20.759999999999998","-21","-20.4","-19.92","-21","-18.6","","","","","","","","","","","","","","","","","","","","","","","",""
"130000","-19.64","-20.8","-17.8","-16.86","-20.2","-13.6","-20.36","-20.8","-19.6","-19.82","-21","-18.2","","","","","","","","","","","","","","","","","","","","","","","",""
"135000","-19.599999999999998","-21","-17.8","-17.4","-20.2","-15.2","-20.419999999999998","-20.8","-19.6","-20.38","-21","-19.6","","","","","","","","","","","","","","","","","","","","","","","",""
"140000","-19.76","-20.4","-18.2","-16.22","-19.8","-10.2","-20.419999999999998","-21","-19.4","-19.759999999999998","-20.8","-18.6","","","","","","","","","","","","","","","","","","","","","","","",""
"145000","-19.56","-20.6","-18.2","-17.520000000000003","-20","-15","-20.479999999999997","-21","-19.6","-19.866666666666667","-20.6","-18.2","","","","","","","","","","","","","","","","","","","","","","","",""
"150000","-19.96","-20.6","-18.4","-16.099999999999998","-20.4","-13.2","-20.560000000000006","-21","-20.2","-20.133333333333333","-21","-18.6","","","","","","","","","","","","","","","","","","","","","","","",""
"155000","-19.66","-20.8","-18.6","-17.72","-20.6","-14.6","-20.06","-20.6","-18.6","-20.08888888888889","-20.8","-18.6","","","","","","","","","","","","","","","","","","","","","","","",""
"160000","-19.419999999999998","-20.8","-17.6","-14.180000000000001","-19.2","-4","-20.500000000000004","-21","-19.4","-19.62222222222222","-20.6","-19.2","","","","","","","","","","","","","","","","","","","","","","","",""
"165000","-19.7","-21","-18.8","-17.46","-20.6","-15.8","-20.240000000000002","-21","-19","-19.933333333333334","-20.8","-19.2","","","","","","","","","","","","","","","","","","","","","","","",""
"170000","-19.639999999999997","-20.4","-18","-15.319999999999999","-20.2","-9.4","-20.26","-21","-19.4","-19.733333333333334","-20.6","-18.4","","","","","","","","","","","","","","","","","","","","","","","",""
"175000","-19.800000000000004","-20.8","-18.2","-17.619999999999997","-20","-14","-20.419999999999998","-21","-19.8","-19.6","-20.6","-18.8","","","","","","","","","","","","","","","","","","","","","","","",""
"180000","-19.720000000000002","-20.8","-18.6","-14.9","-20.4","-10.8","-20.499999999999996","-21","-19.8","-19.48888888888889","-21","-18.6","","","","","","","","","","","","","","","","","","","","","","","",""
"185000","-19.920000000000005","-21","-18.8","-17.42","-20.4","-14.6","-20.11111111111111","-20.8","-19.2","-20.26666666666667","-21","-19.4","","","","","","","","","","","","","","","","","","","","","","","",""
"190000","-18.819999999999997","-20.4","-16.4","-16.3","-19.4","-14.2","-20.355555555555558","-21","-19.6","-19.51111111111111","-20.6","-18.4","","","","","","","","","","","","","","","","","","","","","","","",""
"195000","-19.58","-20.8","-18.4","-17.5","-20.4","-15.4","-20.37777777777778","-20.8","-20","-19.844444444444445","-20.8","-19","","","","","","","","","","","","","","","","","","","","","","","",""
"200000","-19.300000000000004","-20.4","-16.4","-15.419999999999998","-20.8","-9.8","-20.4","-21","-19.6","-19.466666666666665","-20.4","-18.8","","","","","","","","","","","","","","","","","","","","","","","",""
