"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX"
"5000","-3.04","-16","1.8","-3.04","-16","1.8","-7.8","-21.8","1.4","-7.8","-21.8","1.4","-16.44","-27.4","-9","-2.2","-6.8","1","-2.2","-6.8","1","-2.2","-6.8","1","-2.2","-6.8","1","-16.44","-27.4","-9"
"10000","-0.7400000000000001","-5","5.6","-3.28","-9.6","2.4","-13.180000000000001","-27","-1.4","-8.48","-23.2","-1","-15.84","-47.8","-1.2","-1.2","-4.4","3.2","-1.2999999999999996","-4.6","2.2","-1.2999999999999998","-4.6","2.2","-1.9200000000000004","-14.8","1.4","-13.419999999999998","-31.4","0"
"15000","-0.6599999999999999","-5.6","5","-0.96","-4.8","2.8","-7.32","-15.6","-0.4","-14.66","-30.6","-6.2","-16.98","-26.2","-4.4","-1.1199999999999999","-3.6","2.4","-1.3599999999999999","-4","2.8","-1.54","-4.8","4.8","0.23999999999999985","-3.2","6.2","-17.880000000000003","-31.4","1.6"
"20000","-1.06","-3.6","1.8","-1.2","-6.6","4.6","-11.600000000000001","-32.6","-4.8","-9.180000000000001","-16.4","-0.4","-14.680000000000001","-21.2","-7","-0.44000000000000006","-2.6","1.8","-2.1399999999999997","-10.2","2.2","-1.2399999999999998","-3.8","2.8","-1.1800000000000002","-5.6","4.2","-9.359999999999998","-23.8","-3.4"
"25000","1.1400000000000001","-2.4","2.8","0.45999999999999996","-8.4","7.4","-11.48","-40","-1.2","-11.959999999999997","-22.2","-5.6","-13.52","-33.6","2","0.6200000000000001","-3.8","6.2","0.34","-7.8","10.6","0.2800000000000001","-3.2","4.4","2.7","-1.8","5.4","-12.940000000000001","-23","-2.8"
"30000","1.08","-5","7.6","1.34","-3","5.6","-10.3","-22","-1.8","-11.28","-43.8","-2.2","-7.779999999999999","-14","-4.2","0.26","-3.2","5.2","-0.24000000000000013","-6.4","4.2","0.9800000000000001","-8","8","0.8800000000000001","-3.8","5.8","-12.3","-25.4","-4.8"
"35000","2","-2.2","6.8","1.2800000000000005","-2.4","6.2","-9.919999999999998","-21.6","0.4","-11.26","-24.8","1","-7.68","-19.8","1","4.4408920985006264e-17","-6","4.6","-0.4800000000000001","-5","3","1.3199999999999998","-4.2","10.2","1.7","-0.8","5","-9.680000000000001","-15.8","-2.8"
"40000","0.020000000000000073","-3.8","7","1.08","-2.8","5.6","-4.8","-13.4","0.6","-5.24","-11.6","1.2","-6.92","-17.8","1.2","-0.02000000000000013","-5","6.2","-0.4600000000000001","-6.2","4.6","0.9800000000000001","-2.2","6.6","2.5","-5","12.8","-8.66","-17.8","1.8"
"45000","-1.06","-7","4","3.3600000000000003","0.8","8","-7.9799999999999995","-17.2","-1.4","-10.4","-19.8","3.6","-6.4399999999999995","-15.6","2","1.06","-3.8","5.6","2.3600000000000003","-0.6","5.6","1.0400000000000003","-2.8","6.4","0.04","-3.6","2.4","-12.459999999999999","-32.8","-3.2"
"50000","0.6399999999999999","-2.8","3.8","1.56","-2","6","-7.42","-12.4","-3.2","-4.18","-8.4","4.8","-8.38","-17","0","1.3800000000000001","-2.8","6.6","2.9200000000000004","-3","9.6","4.1","-1.2","11.4","-0.9199999999999999","-5.2","3.4","-9.940000000000001","-25","-2.4"
"55000","0.06000000000000001","-5.4","6.8","1.86","-2.2","5.8","-8.78","-25.8","0","-6.519999999999999","-10.6","0.2","-5.880000000000001","-12.4","2.8","1.98","-1.6","5.6","1.1399999999999997","-2","6.8","2.5799999999999996","-4.2","7.4","1.1199999999999999","-1.8","7.8","-7.08","-12.4","-0.4"
"60000","1.46","-4.4","5.8","1.9","-0.4","5.6","-5.74","-14.2","2.4","-6.279999999999999","-12.8","-2.8","-6.32","-9.2","-2.6","3.72","-4.4","10.8","1.7199999999999995","-7.2","8","2.0000000000000004","-1.2","4.2","1","-5.2","3.8","-9.36","-18.2","-1.6"
"65000","2.88","-1","5.2","2.54","-6","9.4","-4.6","-12.6","1.8","-6.600000000000001","-18.8","-2.2","-6.02","-11.4","1","2.72","-4.6","13.8","3.660000000000001","-1.2","14.4","2.0799999999999996","-6.8","8.6","-0.8399999999999999","-6.6","4","-7.959999999999999","-20.4","-0.8"
"70000","1.26","-5.4","8.4","3.66","-2.2","11.6","-7.56","-15.6","-3.6","-4.119999999999999","-7.2","1.8","-4.5600000000000005","-13.2","4","3.2399999999999998","0.4","8.8","4.26","0.2","12","3.14","-1.4","9.4","1.34","-6.4","5.6","-9.4","-17.4","-6.4"
"75000","3.6","-1.4","10.4","1.9","-1","7.4","-5.639999999999999","-12","0","-5.959999999999999","-10.2","-1.4","-7.540000000000001","-17.2","2.6","3.04","-2.4","12.8","1.9599999999999997","-8.8","8.6","1.5400000000000003","-6.2","11.8","1.28","-2.8","6.8","-8.940000000000001","-19.8","1.2"
"80000","2.5799999999999996","-2","12.8","5.959999999999999","1","14.4","-7.140000000000001","-12.6","-1.4","-2.2199999999999998","-6","3.8","-5.92","-12","2.6","3","-2.8","6.6","5.040000000000001","-4.2","13.8","2.0199999999999996","-3","8.2","1.9","-5.2","10.4","-8.26","-21.4","-1.2"
