"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"5000","1.56","0.4","2.4","1.56","0.4","2.4","2.44","0.6","4.2","2.44","0.6","4.2","1.9","0.8","3.6","1.9","0.8","3.6","2.2888888888888888","0.6","4.4","2.288888888888889","0.6","4.4","1.9","0.8","3.6","1.9","0.8","3.6","0.7","0.6","0.8"
"10000","1.98","0.2","4.2","1.7600000000000002","0.2","4.8","1.9333333333333331","0.4","5","1.7400000000000002","0.2","3.4","1.24","0.4","2.6","1.28","0.8","1.6","2.288888888888889","0.6","6.8","2.325","1","3.8","1.6599999999999997","0","5","1.6600000000000001","0","5","2.9000000000000004","1.6","4.2"
"15000","1.3199999999999998","0.6","2","1.45","0.4","2.2","1.9555555555555557","0.6","4.2","1.8666666666666663","0.8","3.8","1.4","0.6","3.2","1.52","0.4","2.4","1.9777777777777779","1","3","1.742857142857143","0.8","2.2","2.111111111111111","1","3","1.58","0","2.8","1.8","1","2.6"
"20000","1.7600000000000002","0.4","4.2","2.6","1.4","5.6","1.5111111111111108","0.6","2.6","1.9555555555555557","0.2","3.8","1.7","0.4","3.8","1.1400000000000001","0","1.6","1.3250000000000002","0.6","2.2","1.457142857142857","0.6","2.4","1.6222222222222222","0","3.8","1.56","0.2","2.6","1.6","1.4","1.8"
"25000","1.6","0.4","4.2","1.9428571428571428","1","2.6","2.2666666666666666","0.8","5","1.7333333333333334","0.8","3.4","1.6400000000000001","0.4","3.6","1.1800000000000002","0.8","2","2.0571428571428574","0.2","3.8","1.3714285714285717","0.4","2","1.325","0.2","2","1.5","0.6","3.2","1.3","1","1.6"
"30000","1.86","0.6","3.4","3.4333333333333336","2","5.6","2.3249999999999997","1","4.4","1.875","1","5","1.6199999999999999","0.2","2.8","1.26","0.4","3.2","2.1714285714285713","1","2.8","1.0857142857142856","0.6","1.6","1.342857142857143","0.8","1.8","4.4","2.4","6.2","1.8","1","2.6"
"35000","2.0999999999999996","0.6","3.8","1.6666666666666667","0.6","3","1.925","0.4","4.4","2.2750000000000004","1.2","4.4","1.7600000000000002","0.6","3.6","1.2199999999999998","0.6","2.2","1.657142857142857","0.2","3.4","1.9142857142857144","0.2","4.2","1.7428571428571427","1","2.6","2.0222222222222226","0.8","3.4","1.8","0.6","3"
"40000","1.6600000000000001","0.6","2.6","7.159999999999999","4.6","12.4","1.725","0.6","3","2.025","0.4","3.2","2.4222222222222225","1.2","5","1.7","0.8","2.2","1.7428571428571427","1","2.2","1.7142857142857142","0.4","3.6","1.8571428571428572","1","3.4","6.488888888888889","3.8","10.4","2.5","0.6","4.4"
"45000","1.6599999999999997","0.4","3.6","2.7199999999999998","1","4","1.925","1","2.4","2.0749999999999997","0.8","3.4","1.3999999999999997","0.4","2.8","1.6600000000000001","0.4","3.2","1.833333333333333","1","3.2","1.4285714285714286","0.2","3.2","1.8285714285714287","0.2","4.2","3.1555555555555563","1","6.2","1.5","0.8","2.2"
"50000","1.8599999999999999","0.8","3","7.960000000000001","4.4","10.8","2.475","1.8","3.4","2.1500000000000004","0.2","3.6","1.7333333333333334","0.4","3.2","1.78","0.6","4","2.8","1","5.4","2.2857142857142856","0.2","4.6","1.4285714285714284","0.6","2","6.822222222222222","4","10.4","1","1","1"
"55000","1.6199999999999999","0.6","5","2.8400000000000003","2","4.4","1.8","1","3.4","1.75","0.6","2.8","1.8666666666666667","0.6","3","2.0666666666666664","0.6","4","1.6","0.2","3","2.314285714285714","0.8","3.4","1.9666666666666668","1","4.2","3.5500000000000003","2","5.8","3.8","1.8","5.8"
"60000","2.1","0.8","4.4","8.6","4.6","11.2","2.2249999999999996","0.4","6.8","2.025","0.2","3.8","1.3777777777777778","0.2","3.2","1.7333333333333334","0.4","3.2","1.28","0.2","2","1.8333333333333337","0.8","2.2","1.5666666666666667","0.6","3","9.075000000000001","4.2","17.6","3.3","2.6","4"
"65000","1.4222222222222223","0.2","3.6","3.85","2.4","5.6","1.65","0.4","2.6","2.325","1","3.6","1.8888888888888888","0.6","3.8","1.688888888888889","0.6","5","1.64","0.4","2.6","2.1666666666666665","1","4.4","1.5","1","2.6","5.828571428571428","4","8.4","1.8","0.6","3"
"70000","2","0.6","4.8","12.3","10","14.4","2","0.4","3.4","1.9000000000000004","0.2","3.2","1.5333333333333334","0.6","3","2","0.2","4.2","2.04","0.6","4","2.2","1.4","3","1.7000000000000002","1","2.2","12.914285714285715","8.2","18","2","1.6","2.4"
"75000","2.25","1.4","4.6","4.35","1.6","8.8","2.6750000000000003","0.6","5.4","1.5750000000000002","0.6","3","1.822222222222222","0.8","3.2","2","0.4","4.4","1.6800000000000002","1","2","1.3666666666666665","0.6","2.2","1.6","0.6","3.2","4.828571428571428","1.2","10.6","1.7000000000000002","1.2","2.2"
"80000","2.025","0.6","4.2","12.999999999999998","10.4","17.4","1.9142857142857144","0.4","4","2.675","0.8","6.6","2.666666666666666","0.2","6","2.0444444444444443","1.2","3.2","2.0799999999999996","0.6","3.6","2.4","1.4","4.8","2.68","0.6","4","13.457142857142859","9.8","20.8","2.3","1.8","2.8"
"85000","1.9","0.4","4.6","7.4","4.4","10.8","1.3714285714285714","0.8","2","2.375","1.2","3.8","2.1333333333333333","1","4.6","2.1","0","3.6","3.72","1.6","7.2","1.7499999999999998","0.8","3","1.8400000000000003","0.8","3.2","6.885714285714286","5.2","9.4","3.1","2.6","3.6"
"90000","1.9142857142857141","0.4","4.6","12.1","9","15.8","2.8","1.2","4.8","3.15","2","5.2","1.5333333333333332","0.6","2.2","2.35","1.2","4.6","1.4400000000000002","0.4","1.8","3.25","1.6","6.8","2.8","1.6","4","14.771428571428572","10.2","23.2","0.7","0.6","0.8"
"95000","2.1142857142857143","1","3.4","5.1","3.2","6","1.6285714285714288","0.6","3","3.075","1.8","5.8","1.288888888888889","0.2","2.6","1.725","1","2.6","1.25","0.6","1.6","1.8000000000000003","0.6","3.2","1.6799999999999997","0.6","2.8","6.2","4","11.8","0.8999999999999999","0.6","1.2"
"100000","1.5428571428571427","0.4","3","14.7","11.8","18.2","1.6571428571428573","0.8","3.8","2.875","1.6","5.8","1.7333333333333334","0.6","3","1.975","1.4","2.6","2.35","0.4","3.6","2.25","0","5.6","2.2","0.8","3.2","13","3","24.8","2","1.4","2.6"
"105000","2.4285714285714284","1.2","3.4","7.05","5","9.4","2.9714285714285715","1.8","4.8","2.25","1.2","3.6","","","","","","","","","","","","","","","","","","","","",""
"110000","1.4857142857142855","0.6","2.2","15.299999999999999","12.4","21.4","2.0571428571428574","0.8","3.2","3.55","0.8","6.2","","","","","","","","","","","","","","","","","","","","",""
"115000","2.028571428571429","1","3.2","9.850000000000001","4","16.2","1.4857142857142858","0.2","3.2","2.625","0.4","5.4","","","","","","","","","","","","","","","","","","","","",""
"120000","1.9714285714285715","0.8","3.4","16.35","11.4","22.4","1.9000000000000001","0.2","4","4.9","2.6","6.8","","","","","","","","","","","","","","","","","","","","",""
"125000","1.7714285714285711","0.2","3.8","8.6","5.8","11.2","1.1","0.2","2.2","2.15","1.4","3.2","","","","","","","","","","","","","","","","","","","","",""
"130000","1.885714285714286","0.8","2.6","17.4","15.6","19","1.92","0.4","3","4.2857142857142865","2","7.6","","","","","","","","","","","","","","","","","","","","",""
"135000","2","0.6","4.4","8.350000000000001","4.4","10.8","1.6800000000000002","0","3","2.9666666666666663","1.4","7.6","","","","","","","","","","","","","","","","","","","","",""
"140000","3.057142857142857","1","6.6","18.8","10.8","23.4","1.7599999999999998","0.6","4","5.366666666666666","3","7.8","","","","","","","","","","","","","","","","","","","","",""
"145000","1.7714285714285716","0.2","3","9.35","5.6","17.2","2.96","2","4.8","3.9000000000000004","1.4","6.2","","","","","","","","","","","","","","","","","","","","",""
"150000","2","0.8","3","33.2","14.4","72.8","1.6400000000000001","0.6","3.2","5.1","2","8.8","","","","","","","","","","","","","","","","","","","","",""
"155000","2.057142857142857","0.4","3.8","11.850000000000001","6.8","16.6","2.2399999999999998","0.4","4","3.6666666666666665","2.2","4.8","","","","","","","","","","","","","","","","","","","","",""
"160000","1.8571428571428574","1","4.4","20.15","18.6","21.4","1.2","0.4","2","5.133333333333333","2.6","7.6","","","","","","","","","","","","","","","","","","","","",""
"165000","2.542857142857143","0.4","5.2","9.55","7.2","10.6","2.2399999999999998","1.4","3.6","3.8000000000000003","1.8","5.6","","","","","","","","","","","","","","","","","","","","",""
"170000","2.142857142857143","1.2","4.4","19.5","16.4","22.6","1.9600000000000002","0.8","3.2","6.599999999999999","2.8","11.2","","","","","","","","","","","","","","","","","","","","",""
"175000","2.371428571428571","0.6","6.6","12.05","9.2","16.6","1.1199999999999999","0.8","1.6","3.1999999999999997","1.6","5.2","","","","","","","","","","","","","","","","","","","","",""
"180000","1.9428571428571428","0","3","20.750000000000004","12.4","26.2","2.36","1.2","3.2","6.2","2.4","8.2","","","","","","","","","","","","","","","","","","","","",""
"185000","1.8","0.4","4","9.700000000000001","8","13.6","2.32","1.2","3.6","4.266666666666667","1.6","6.6","","","","","","","","","","","","","","","","","","","","",""
"190000","1.4333333333333333","0","2.8","21.300000000000004","17.6","26.2","1.3","0.8","2.2","6.2","4.6","10","","","","","","","","","","","","","","","","","","","","",""
"195000","1.9333333333333333","0.6","3.2","15.749999999999998","10.2","21.4","1.3000000000000003","0.4","1.8","3.633333333333333","1","7.2","","","","","","","","","","","","","","","","","","","","",""
"200000","1.9000000000000001","1","3","20.7","16.8","24","2.7","1.4","3.4","6.199999999999999","5.4","7.2","","","","","","","","","","","","","","","","","","","","",""
