"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","1.5","0","6.2","1.5","0","6.2","0.82","0","8.2","0.82","0","8.2","1.9599999999999997","0","11.2","1.9599999999999997","0","11.2","2.2399999999999998","0","7","2.2399999999999998","0","7","1.9599999999999997","0","11.2","1.9599999999999997","0","11.2"
"10000","1.3599999999999999","0","9.6","1.6199999999999999","0","7.2","1.4","0","8.6","2.1799999999999997","0","11.6","1.8199999999999996","0","10.2","3.22","0","11.4","0.34","0","2.6","3.3200000000000003","0","10.6","3.5199999999999996","0","11.4","3.5199999999999996","0","11.4"
"15000","1.64","0","8.6","1.16","0","7","0.62","0","3.8","1.02","0","4.6","2.2","0","11.4","5.359999999999999","0","12.4","3.4","0","11","0.08","0","0.6","0.86","0","8.4","3.3600000000000003","0","11.4"
"20000","3.6800000000000006","0","9.4","3.7600000000000002","0","10.8","0.8400000000000001","0","5","0.13999999999999999","0","1.4","1.06","0","10.6","3.6","0","18.8","5.42","0","11.2","0.5599999999999999","0","3.6","3.3","0","11.4","2.44","0","8.8"
"25000","3.900000000000001","0","11.6","5.619999999999999","0","14.8","1.7399999999999998","0","11.4","2.58","0","13.2","5.32","0","11.2","5.32","0","20.8","4.3","0","11.6","2.2","0","11.2","4.5","0","12.2","4.26","0","11.2"
"30000","7.4799999999999995","0","20.6","2.56","0","19.6","1.9","0","7.2","5.02","0","16.8","6.4799999999999995","0","11","5.339999999999999","0","21.2","3.38","0","11.6","1.28","0","9.2","5.58","0","12.2","3.2","0","11.8"
"35000","8.579999999999998","0","22.4","4.800000000000001","0","22","5.62","0","11.6","4.36","0","21","3.12","0","10.6","7.8","0","21.8","3.3200000000000003","0","11.4","6.459999999999999","0","11.6","3.1599999999999997","0","19","3.06","0","12.4"
"40000","11.84","0","22.2","3.755555555555555","0","20.6","6.04","0","17.4","6.959999999999999","0","21.2","3.4","0","11.6","10.899999999999999","0","21.8","3.4200000000000004","0","13.8","0.9799999999999999","0","9.6","8.64","0","22","4.5200000000000005","0","11.2"
"45000","14.4","0","21.2","5.466666666666667","0","20.8","2.0799999999999996","0","20.4","5.62","0","20.6","2.1","0","10.8","10.06","0","21.2","5.26","0","17.8","4.34","0","11.4","6.36","0","20.8","5.199999999999999","0","21.4"
"50000","15.520000000000001","0","21","6.711111111111111","0","21.2","7.279999999999999","0","20.2","8.48","0","21.2","4.680000000000001","0","13.6","15.12","0","21.2","7.080000000000001","0","20.6","5.18","0","19","7.4","0","21.2","7.840000000000001","0","20.6"
