"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","156.8","64","292","156.8","64","292","142.8","12","316","142.8","12","316","209.2","72","344","209.2","72","344","137.6","0","356","137.6","0","356","209.2","72","344","209.2","72","344"
"10000","320.4","124","528","275.2","172","456","224.4","48","540","183.2","64","460","317.2","100","564","232","116","400","131.2","16","264","183.2","12","436","247.6","132","376","247.6","132","376"
"15000","330.4","192","520","274.8","88","424","279.6","32","576","209.6","68","464","312.4","164","528","272","80","452","132.8","16","256","256.4","48","692","276.8","152","504","276.4","136","504"
"20000","459.2","228","624","393.2","188","508","183.6","20","356","261.2","116","516","367.6","144","548","459.2","240","824","186.4","44","388","192.8","56","336","425.2","204","676","375.6","184","612"
"25000","458.4","308","660","423.2","208","688","200.4","68","364","235.2","20","532","309.6","224","408","423.6","304","532","151.2","80","268","212","64","444","337.2","184","520","431.6","276","684"
"30000","562.4","296","872","452.8","236","808","225.6","136","332","270.8","128","412","449.6","232","840","424.8","160","588","196","60","292","182","96","348","479.6","236","684","421.6","252","724"
"35000","558","440","880","502","224","656","197.6","108","352","306.4","148","552","383.2","268","472","475.6","276","656","170","24","344","242.4","92","584","375.2","220","616","472.4","220","816"
"40000","534.8","412","672","582.8","408","876","241.6","68","512","260","116","488","489.6","244","792","570","232","932","154","4","468","170.4","80","368","547.2","292","800","460","284","804"
"45000","558","396","768","669.2","308","1096","182.8","76","252","271.6","160","464","436","212","600","668.4","368","1060","214","72","396","205.2","60","380","508","256","1288","656.4","324","1408"
"50000","674.8","292","932","614.8","392","828","233.6","32","316","340.8","176","740","458.4","280","584","546.8","236","848","196","72","400","198","108","280","564.4","432","668","632.8","460","836"
"55000","543.2","356","736","529.2","280","792","262.8","100","392","331.2","156","604","434","300","616","526.8","276","880","196.4","96","300","196.4","64","296","488","380","624","696.4","300","1124"
"60000","710","424","1040","682.8","404","1036","316","168","392","373.6","188","632","466.4","228","720","664.4","496","1028","155.6","48","288","191.6","52","316","618.8","372","788","600","428","844"
"65000","683.2","408","1068","761.6","464","984","328.4","192","600","314.8","192","468","558.8","332","800","788","636","1024","143.6","76","256","213.2","40","420","574","320","976","696.4","356","984"
"70000","790","440","1136","850","456","1340","316","104","464","320.8","184","736","596","388","764","766.8","540","1192","196.8","60","344","176","40","412","738.8","436","1128","676","332","1132"
"75000","726","292","1316","887.2","452","1332","293.3333333333333","92","440","311.2","140","700","515.6","392","684","645.6","428","904","224.8","68","672","218.4","84","356","544.8","300","1168","689.7777777777778","388","948"
