"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","30","0","90","30","0","90","18","0","60","18","0","60","47","10","110","47","10","110","32","10","90","32","10","90","47","10","110","47","10","110"
"10000","31","10","50","27","10","70","32","0","90","34","0","110","37","20","60","37.77777777777778","20","60","23","0","60","32","10","90","29","0","80","29","0","80"
"15000","42","10","120","37","0","70","34","10","100","44","10","90","44","10","80","41.111111111111114","10","100","52","10","100","35","0","80","42","0","100","52","10","100"
"20000","46","0","90","40","10","70","36","0","80","37","0","80","44","10","70","32.22222222222222","20","50","37","0","110","31","0","60","34","10","80","66","40","120"
"25000","49","20","70","52.22222222222222","20","90","32","10","40","39","10","100","28","0","80","55.55555555555556","30","80","38","10","80","32","0","110","30","10","40","47","10","90"
"30000","52","10","90","43.333333333333336","30","80","47","20","90","47","10","130","38","0","80","50","10","100","39","0","70","32","0","110","39","20","70","54","30","90"
"35000","41.111111111111114","10","80","31.25","0","90","52","0","120","51","20","140","54","20","120","47.77777777777778","10","90","34","10","80","37","0","110","55","20","120","43","0","100"
"40000","35.55555555555556","0","50","43.75","10","110","48","0","100","52","10","80","43","10","80","34.44444444444444","10","70","28","0","90","52","10","90","43","0","100","55","10","110"
"45000","43.333333333333336","0","90","37.5","10","60","43","10","100","33","0","80","38","0","70","47.77777777777778","0","80","31","0","70","28","20","50","30","10","70","46","10","80"
"50000","38.75","10","70","60","20","100","39","10","80","51","10","120","50","10","100","37.77777777777778","20","70","39","20","110","43","20","80","53","10","100","51","10","70"
"55000","47.5","10","80","46.25","20","70","33","10","60","60","20","100","23","0","70","36.666666666666664","20","70","36","0","100","29","10","90","36","10","70","51","20","90"
"60000","52.5","30","80","40","20","60","45","0","100","47","10","90","41","0","70","44.44444444444444","20","70","42","30","80","42","0","120","27","10","50","49","10","90"
"65000","51.42857142857143","0","120","57.5","20","100","48","0","180","50","0","150","41","20","80","45.55555555555556","20","80","40","0","70","39","0","80","44","20","70","48","10","90"
"70000","34.285714285714285","10","60","46.25","10","80","36","0","100","44","0","80","29","10","80","36.25","20","40","40","0","110","26","10","50","45","10","80","49","10","80"
"75000","34.285714285714285","0","80","45","0","90","33","0","70","58","10","110","28","0","70","46.25","20","90","24","0","60","31.11111111111111","10","80","34","10","60","42","10","90"
"80000","58.57142857142857","30","90","40","20","80","29","0","90","51","10","120","33","0","110","38.333333333333336","20","70","38","0","80","24.444444444444443","0","80","43","0","100","48","10","90"
"85000","28.571428571428573","10","90","56.25","20","130","17","0","40","26","10","80","41","10","80","38.333333333333336","0","80","25","0","60","53.333333333333336","10","100","48","0","70","41.111111111111114","0","70"
"90000","32.857142857142854","0","50","42.5","10","80","29","10","60","31","0","60","35","20","80","41.666666666666664","30","50","56","10","140","32.22222222222222","10","60","43","0","110","65.55555555555556","30","160"
"95000","52.857142857142854","30","80","47.5","0","90","29","0","80","31","10","80","39","20","70","41.666666666666664","10","80","33","10","70","35.55555555555556","0","70","34","10","60","45.55555555555556","30","100"
"100000","34.285714285714285","10","80","46.25","30","80","47.77777777777778","0","130","45","0","80","53","20","110","63.333333333333336","30","100","34","0","110","17.77777777777778","0","60","38","10","60","52.22222222222222","10","70"
"105000","44.285714285714285","0","100","33.75","0","80","34.44444444444444","0","70","21","0","60","","","","","","","","","","","","","","","","","",""
"110000","27.142857142857142","0","60","52.5","20","80","34.44444444444444","10","60","42","10","110","","","","","","","","","","","","","","","","","",""
"115000","40","0","60","40","0","60","38.888888888888886","10","80","23.333333333333332","0","80","","","","","","","","","","","","","","","","","",""
"120000","32.857142857142854","0","60","57.5","40","90","44.44444444444444","10","90","25.555555555555557","0","60","","","","","","","","","","","","","","","","","",""
"125000","28.571428571428573","10","40","38.57142857142857","10","50","25.555555555555557","10","60","35.55555555555556","10","70","","","","","","","","","","","","","","","","","",""
"130000","20","0","40","67.14285714285714","40","100","41.111111111111114","10","120","31.11111111111111","0","80","","","","","","","","","","","","","","","","","",""
"135000","38.57142857142857","10","70","31.428571428571427","0","80","45.55555555555556","20","120","52.22222222222222","10","130","","","","","","","","","","","","","","","","","",""
"140000","42.857142857142854","10","110","71.42857142857143","50","90","48.888888888888886","10","90","56.666666666666664","0","200","","","","","","","","","","","","","","","","","",""
"145000","28.571428571428573","0","50","55","30","90","38.888888888888886","10","90","33.333333333333336","10","100","","","","","","","","","","","","","","","","","",""
"150000","42.857142857142854","10","70","75","60","90","62.22222222222222","20","140","37.77777777777778","20","60","","","","","","","","","","","","","","","","","",""
"155000","58.57142857142857","20","140","50","20","80","36.666666666666664","0","90","47.77777777777778","30","70","","","","","","","","","","","","","","","","","",""
"160000","34.285714285714285","20","70","61.666666666666664","30","80","38.888888888888886","0","120","62.5","20","190","","","","","","","","","","","","","","","","","",""
"165000","32.857142857142854","10","70","36.666666666666664","10","80","38.888888888888886","10","80","28.75","0","100","","","","","","","","","","","","","","","","","",""
"170000","37.142857142857146","20","50","61.666666666666664","20","90","32.22222222222222","10","70","66.25","10","160","","","","","","","","","","","","","","","","","",""
"175000","34.285714285714285","10","100","66.66666666666667","20","100","38.888888888888886","0","90","21.25","0","50","","","","","","","","","","","","","","","","","",""
"180000","32.857142857142854","10","60","74","40","130","33.333333333333336","0","80","46.25","0","80","","","","","","","","","","","","","","","","","",""
"185000","37.142857142857146","10","70","64","20","130","32.22222222222222","0","60","33.75","20","70","","","","","","","","","","","","","","","","","",""
"190000","45.714285714285715","20","70","54","30","80","41.111111111111114","10","140","60","20","100","","","","","","","","","","","","","","","","","",""
"195000","48.57142857142857","20","80","68","40","100","32.22222222222222","0","60","40","10","80","","","","","","","","","","","","","","","","","",""
"200000","32.857142857142854","10","80","76","20","110","32.5","10","80","42.5","0","100","","","","","","","","","","","","","","","","","",""
