"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","48","0","280","48","0","280","96","0","320","96","0","320","20","0","80","20","0","80","56","0","160","56","0","160","20","0","80","20","0","80"
"10000","20","0","40","108","0","280","100","0","400","52","0","200","28","0","200","48","0","400","48","0","320","24","0","120","8","0","40","8","0","40"
"15000","44","0","80","76","0","240","28","0","240","84","0","320","52","0","280","32","0","160","32","0","160","96","0","480","24","0","80","12","0","80"
"20000","52","0","200","68","0","240","68","0","160","52","0","320","62.22222222222222","0","440","44.44444444444444","0","160","48","0","200","20","0","80","48","0","120","64","0","280"
"25000","80","40","160","53.333333333333336","0","120","48","0","160","132","0","440","40","0","120","80","0","160","84","0","200","60","0","360","44","0","200","88","0","240"
"30000","88","0","280","71.11111111111111","0","120","68","0","240","142.22222222222223","0","520","90","40","160","44.44444444444444","0","160","52","0","120","84","0","360","60","0","240","68","0","160"
"35000","64","0","120","120","0","320","112","0","400","106.66666666666667","0","360","80","0","200","97.77777777777777","0","200","92","0","400","72","0","320","88","0","320","112","0","400"
"40000","48","0","200","130","40","240","100","0","440","40","0","120","45","0","120","53.333333333333336","0","120","124","0","400","64","0","160","111.11111111111111","0","360","93.33333333333333","0","240"
"45000","60","0","120","185","80","320","58","0","240","57.77777777777778","0","320","55","0","320","71.11111111111111","0","160","60","0","160","80","0","440","48.888888888888886","0","160","71.11111111111111","0","200"
"50000","115.55555555555556","0","240","105","40","160","102","0","460","137.77777777777777","0","880","70","0","240","71.11111111111111","0","160","62","0","180","76","0","160","71.11111111111111","0","160","115.55555555555556","0","320"
"55000","115.55555555555556","0","200","105","40","200","140","0","440","62.22222222222222","0","120","55","0","200","97.77777777777777","0","160","124","0","480","124","0","280","71.11111111111111","0","200","124.44444444444444","0","280"
