"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","580","240","1200","580","240","1200","206","20","1000","206","20","1000","546","100","1380","546","100","1380","182","20","460","182","20","460","546","100","1380","546","100","1380"
"10000","960","120","2640","1882.2222222222222","400","5100","306","80","800","384","100","1260","1216","640","2580","2754","160","11040","234","0","880","902","20","7260","2334","340","8080","2334","340","8080"
"15000","1554","420","4880","1222.2222222222222","480","2240","856","40","3560","276","80","1200","3568","500","12440","2598","760","4960","114","0","320","288","60","940","2090","960","3380","2258","560","5100"
"20000","1418","440","2140","1031.111111111111","340","2520","1482","100","10900","560","40","1880","3254","840","5580","3474","1480","5700","356","0","2180","1388","0","6300","3290","2200","5160","3408","960","5420"
"25000","2126","900","3640","1784.4444444444443","640","2580","816","60","3280","972","300","1760","3698","880","9080","3336","760","5760","446","0","2060","974","20","2440","4222","1820","10900","2944","1060","5260"
"30000","3806","1940","8720","2142.222222222222","780","6600","1368","140","3340","1542","520","2360","4300","1540","7560","3500","1900","4580","602","0","2760","1462","80","3300","4564","1640","8760","3914","2180","5920"
"35000","3210","960","4860","3671.1111111111113","2040","4900","3344","360","11200","2120","380","5500","4196","2040","7940","4076","1920","7840","678","20","3640","2522","300","7760","4854","2340","9160","5054","3380","6120"
"40000","3794","1620","5420","4366.666666666667","2140","5600","3058","680","11200","3610","460","11000","4810","2500","9060","4898","3280","7240","524","0","3120","2552","220","9660","4910","1360","7260","4618","2280","7700"
"45000","4952","3500","7080","4200","2920","5340","3230","320","16520","3442","1240","6020","5412","2620","9300","4714","2300","9280","740","0","4820","1874","520","4620","4012","2280","5280","5078","2760","8260"
"50000","5936","2660","10860","4025","1260","5640","2878","660","6020","3804","1720","5820","5688","2920","13020","4490","2860","7560","772","0","2220","2208","200","5160","5508","3740","8380","5452","2360","7740"
"55000","4944","3500","6520","5102.5","3320","6800","5278","960","17800","3840","2180","6720","6152","3480","9920","5016","2240","7520","784","0","1600","3032","540","5980","4168","1800","8200","5234","3180","7500"
"60000","5456","3160","7820","5685","3580","7480","3966","720","8740","3370","1320","8760","5388","1840","10740","4946","2980","6600","1514","0","5500","4504","40","8620","4966","3620","7060","4828","3520","7180"
"65000","6058","2220","10140","6117.5","4000","9880","5034","1420","12280","4812","2640","7480","5788","2220","11260","6132","3080","9060","1084","60","4300","3244","420","7420","5124","2860","8140","6294","3980","9460"
"70000","5000","2680","7120","6682.5","3700","9940","4054","2360","7880","5338","2740","11580","6650","2800","12680","5104","1940","7180","3744","0","12280","3482","420","8200","6337.777777777777","3400","9600","4940","3140","7300"
"75000","5284","3600","7280","4865","3600","6480","4932","2140","10480","4798","1400","10340","5566","3140","9460","6626","3740","12120","1858","80","4580","4010","1000","8320","4848.888888888889","3160","6100","5146","1740","7760"
"80000","5798","3980","8740","5600","3440","7280","4898","2080","10620","5012","3320","8000","5978","3880","12580","6286","2680","10660","1502","60","4220","4318","900","7860","6984.444444444444","3860","11820","6606","3380","9580"
