"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","312.4","194","408","312.4","194","408","267.6","152","534","267.6","152","534","467.4","180","1050","467.4","180","1050","269.6","178","442","269.6","178","442","467.4","180","1050","467.4","180","1050"
"10000","508.6","380","654","474.6","302","834","306.6","182","438","269","160","524","544","348","760","558","350","734","478.2","238","734","444.2","306","730","537.8","312","854","537.8","312","854"
"15000","660.6","330","1300","577.6","336","780","495.8","300","940","363.55555555555554","248","584","743.6","492","1038","700.2","422","1044","439.4","300","758","437","296","588","706","448","1010","612.2","420","930"
"20000","639.6","382","984","703.4","492","902","540.2","254","810","497.77777777777777","284","700","799.8","414","1146","704.8","480","1246","570","208","914","665.6","230","1586","614.2","382","930","644.6","400","894"
"25000","776.2","498","962","849.8","502","1290","483.2","276","690","499.3333333333333","232","820","734","530","1008","970","456","2404","561.6","296","1004","586.2","388","856","702.6","494","1244","770.8","414","1456"
"30000","782.8","420","1106","669","456","908","617.8","500","960","547.75","230","890","861.6","592","1206","779.6","426","1020","613.2","306","1066","630","362","964","773.2","584","1022","626.6","302","952"
"35000","729.8","532","876","830.4","422","1038","497.2","274","782","638.25","382","806","846.2","456","1218","801","608","1344","660.2","390","1242","607.8","316","896","763.6","570","1098","815.2","594","988"
"40000","944.6","778","1334","845.1111111111111","520","1498","555.8","350","856","624.5","428","1032","899.4","650","1460","857.4","632","1068","648.2","328","1072","709.5555555555555","368","1314","929.2","608","1410","763","574","1114"
"45000","814.2","574","1040","868.2222222222222","536","1456","645.8","474","864","527","420","746","940.8","652","1346","911.4","728","1182","570.8","304","816","675.1111111111111","420","1036","902.6666666666666","616","1386","778.6","508","1314"
"50000","810.4","554","1096","690.4444444444445","462","866","733.8","210","1162","675","394","1114","1017.4","688","1466","1099","652","1488","552","376","686","483.25","308","784","956","708","1240","805.2","450","1202"
"55000","893","760","1136","912.2222222222222","630","1416","625.4","298","984","603","410","884","975.2","652","1262","1010.8","540","1260","746.2","370","1240","506.25","386","630","944.2222222222222","512","1374","882.6","642","1352"
"60000","991.8","628","1468","933.7777777777778","706","1432","642.2","398","1060","637.75","434","872","943","732","1158","1039","672","1720","582.2","278","944","733","354","1200","837.7777777777778","544","1282","790.2","448","1364"
"65000","987","722","1290","851.3333333333334","646","1124","757.6","342","1118","690.25","356","1128","938","718","1194","1007","670","1634","718.6","506","992","714.25","554","852","996.4444444444445","682","1484","891","642","1298"
"70000","937.4","762","1338","864.8888888888889","626","1224","691","354","958","568.25","304","846","971.8","632","1340","1069","628","1390","751.4","476","1200","689.5","430","1058","1051.3333333333333","802","1458","874","652","1282"
"75000","1119","798","1466","1093.5555555555557","680","1550","762.6","450","924","773.5","308","1158","1067.3333333333333","802","1458","1154.2","902","1762","792","428","1210","726.25","452","1128","1066.4444444444443","876","1244","985","592","1236"
"80000","1166.6","966","1608","904.8888888888889","512","1344","650.8888888888889","400","890","881.5","578","1794","1246.4444444444443","918","1586","1074.8","804","1586","809.2","542","1128","638.25","492","818","1054.75","610","1466","930.4","610","1252"
"85000","1042","690","1394","1146.6666666666667","884","1360","826.4444444444445","674","1134","686.25","298","954","1005.3333333333334","658","1412","1027.6","644","1454","812.6666666666666","410","1830","677","486","1008","1114","792","1866","973","592","1566"
"90000","1180.2","866","1508","892.2222222222222","646","1164","786","532","1030","686","476","894","1179.7777777777778","956","1516","1052.888888888889","860","1250","869.5555555555555","524","1214","759.75","488","1194","1037","748","1298","883.8","614","1296"
"95000","1101.4","658","1560","1113.25","906","1504","788.2222222222222","514","1060","820.25","626","1062","1349.5555555555557","1090","1958","1010.2222222222222","694","1252","735.5555555555555","366","1048","714.25","512","914","1185.75","908","1406","1035.8","734","1490"
"100000","1112.2","978","1342","1053.75","568","1890","913.3333333333334","516","1150","837.75","618","1024","1154.4444444444443","786","1466","1112.2222222222222","844","1524","703","586","1084","745.25","342","980","1279.75","862","1928","843.8","634","1040"
"105000","997.6","728","1300","1139","958","1298","821.5555555555555","530","1112","864","584","1346","","","","","","","","","","","","","","","","","",""
"110000","1262.4","880","1906","937","566","1200","752.2222222222222","500","1110","863.7142857142857","602","1082","","","","","","","","","","","","","","","","","",""
"115000","1030","764","1360","1029.25","812","1252","763.7777777777778","522","904","873.7142857142857","736","1000","","","","","","","","","","","","","","","","","",""
"120000","1118.8","684","1572","945.25","744","1176","788.4444444444445","560","1166","871.4285714285714","536","2008","","","","","","","","","","","","","","","","","",""
"125000","1292.4","782","1628","949.25","814","1232","851.5555555555555","422","1306","828.2857142857143","574","958","","","","","","","","","","","","","","","","","",""
"130000","1252.6","696","1904","863","708","1110","902.8888888888889","612","1364","877.7142857142857","690","1050","","","","","","","","","","","","","","","","","",""
"135000","1317","1008","2120","889.5","508","1364","979.3333333333334","626","1228","911.1428571428571","578","1150","","","","","","","","","","","","","","","","","",""
"140000","1199.8","846","1624","957.25","808","1176","945.7777777777778","494","1620","1053.4285714285713","738","1548","","","","","","","","","","","","","","","","","",""
"145000","1334.6","940","1898","961.25","640","1484","828","706","1034","850.6666666666666","512","1290","","","","","","","","","","","","","","","","","",""
"150000","1109.6","750","1378","1056.75","850","1326","831.3333333333334","620","1334","676.4","516","966","","","","","","","","","","","","","","","","","",""
"155000","1257","996","1534","1174.5","912","1522","867.3333333333334","568","1506","799.6","490","1064","","","","","","","","","","","","","","","","","",""
"160000","1377","1062","1800","1087","762","1598","943.1111111111111","734","1478","928.4","584","1220","","","","","","","","","","","","","","","","","",""
"165000","1311","830","1822","1001.5","626","1598","1069.3333333333333","644","1538","827.2","508","992","","","","","","","","","","","","","","","","","",""
"170000","1182.2","936","1458","1197","912","1816","902.8888888888889","626","1158","1031.2","896","1414","","","","","","","","","","","","","","","","","",""
"175000","1287.8","710","2024","1196","736","1616","888.6666666666666","684","1364","1010.4","662","1572","","","","","","","","","","","","","","","","","",""
"180000","1341.8","812","1684","908","632","1150","873.1111111111111","656","1000","868.4","538","1062","","","","","","","","","","","","","","","","","",""
"185000","1475.6","1344","1958","1314.2857142857142","856","1792","920.2222222222222","600","1144","763.2","286","1258","","","","","","","","","","","","","","","","","",""
"190000","1397.6","1160","1806","1144.2857142857142","850","1320","1007.7777777777778","512","1338","1050.4","846","1322","","","","","","","","","","","","","","","","","",""
"195000","1385.3333333333333","1114","1676","1050.857142857143","744","1510","987.3333333333334","560","1626","865.2","554","1252","","","","","","","","","","","","","","","","","",""
"200000","1343.111111111111","958","1784","1114.2857142857142","856","1314","1004.8888888888889","568","1702","1012.4","566","1318","","","","","","","","","","","","","","","","","",""
