"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","130.37999999999997","-979.4","3000","130.38000000000002","-979.4","3000","86.62000000000003","-1000","4420.2","86.62000000000003","-1000","4420.2","489.7800000000001","-465","5713.6","489.7800000000001","-465","5713.6","-397.1","-1000","40","-397.1","-1000","40","489.7800000000001","-465","5713.6","489.7800000000001","-465","5713.6"
"10000","-74.31999999999998","-973.8","1076.6","237.88000000000002","-540","2631.8","67.1","-749","2225.6","-236.46000000000004","-959","100","-67.84","-224.6","100","-48.55999999999999","-435.2","80","-229.38000000000002","-1000","80","-262.02000000000004","-1000","60","-39.379999999999995","-733.8","80","-39.379999999999995","-733.8","80"
"15000","64","40","80","-16.74","-238.8","80","-231.58","-803","40","-297.91999999999996","-1000","80","28.839999999999996","-151.6","80","-90.7","-833.2","80","-65.28","-523.6","80","-259.1","-1000","60","-86.32","-537.8","80","-74.94","-622.8","80"
"20000","-51.04","-388.8","100","-23.48","-314.8","40","-110.94000000000001","-680","80","-165.36","-571.2","60","-27.68","-360","100","150.8","-380","2253.4","-99.94","-643","102.6","-137.23999999999998","-442","100","-217.85999999999999","-738.8","80","-149.4","-780","60"
"25000","-150.48","-1000","100","-183.08","-663.4","100","315.34","-695.8","5940","254","-875.8","2880.6","-66.42","-514","80","146.6","-651.6","2820","-63.82000000000001","-223","80","108.77999999999997","-983.2","2766.2","-77.91999999999999","-800","100","4","-200","80"
"30000","-42.98","-560","100","-92.78","-489.6","100","414.5","-691.8","5581.2","-125.28000000000002","-491.6","80","-61.779999999999994","-1000","80","-261.9","-920","93.2","-313.34000000000003","-800","80","-57.74000000000001","-598.6","1021","-115.02000000000001","-760","80","-65.22","-346","60"
"35000","177.76","-187.8","2020.6","-47.54","-768.8","100","-25.079999999999995","-560","984.2","209.45999999999998","-600","2897","-67.47999999999999","-400","100","-36.059999999999995","-340","100","-264","-1000","20","-169.22","-856","60","235.43999999999997","-465.8","3040","-156.3","-709.4","80"
"40000","-179.22","-880","80","-87.91999999999999","-514.8","100","-132.76","-540","80","413.88","-548.8","3040","-70.03999999999999","-980","100","-24","-460","80","435.93999999999994","-96.8","3020","-281.12","-958.8","80","-116","-560","80","-19.139999999999997","-160","100"
"45000","-135.14","-799.8","100","3.620000000000002","-180","100","-303.91999999999996","-880","80","-120.91999999999999","-600","100","-90","-780","80","-14.620000000000005","-365.6","100","-231.85999999999999","-800","80","204.64000000000001","-380","2780","-224.8","-780","40","-24.919999999999998","-340","80"
"50000","-108.48000000000002","-821.2","80","-55.46","-787.6","80","48.4","-980","2560","-170.76","-782.4","100","213.32","-746.8","2980","-93.35999999999999","-578.4","100","-75.47999999999999","-588.8","80","-132.16","-600","80","-49.04","-580","100","45.86","-13.8","100"
"55000","-154.98000000000002","-800","100","-56.1","-740","100","195.18","-520.2","2305.4","196.35999999999999","-604.8","2940","-21.74","-357.4","100","176.2","-392.2","2220","-269.28000000000003","-675.4","32","-127.85999999999999","-644.2","80","-218.61999999999998","-766.2","60","44","-380","100"
"60000","-73.47999999999999","-764.4","100","-96.82000000000001","-800","100","27.45999999999999","-1000","2800","199.6","-824.8","2980","-148.06","-488","80","-87.22","-410.2","100","-281.86","-638.4","64.6","-244.1","-780","80","-179.42000000000002","-1000","80","72.7","20","100"
"65000","-32.120000000000005","-711.2","100","-71.22","-364","100","-313.36","-1000","80","-147.14000000000001","-899","80","17.04","-600","640","-106.31999999999998","-444.4","97.2","-125.9","-400","60","-267.28000000000003","-1000","80","227.64000000000001","-180","2531.4","-8.519999999999998","-240","100"
