"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","89.5","15","150","89.5","15","150","98","30","185","98","30","185","144","40","325","144","40","325","132.5","40","250","132.5","40","250","144","40","325","144","40","325"
"10000","163","50","265","144.5","40","255","99.5","35","225","134.5","20","305","172.5","55","365","219.5","80","390","150","60","260","120","25","195","175.55555555555554","70","310","175.55555555555554","70","310"
"15000","240","140","365","346","195","550","117","25","215","171.5","35","380","277.5","120","405","254","185","465","180.55555555555554","45","365","183.33333333333334","65","310","191.66666666666666","115","265","291.1111111111111","140","635"
"20000","349.5","260","445","366.5","270","510","169","25","375","197","105","300","237.5","70","375","335.5","200","515","190","35","295","231.66666666666666","175","320","283.125","190","360","346.1111111111111","265","475"
"25000","318","225","430","407","255","600","209","55","350","206","40","365","270.5","180","355","328","205","460","191.11111111111111","25","315","252.77777777777777","50","380","273.75","140","400","358.8888888888889","170","485"
"30000","363","255","475","346","185","495","259.44444444444446","105","465","231.5","65","320","314","145","475","371","240","500","221.66666666666666","95","305","252.22222222222223","120","380","338.125","275","380","383.3333333333333","265","550"
"35000","368","215","560","407.22222222222223","295","610","204.44444444444446","120","410","250.5","160","430","298","200","460","389","265","555","227.85714285714286","150","360","233.33333333333334","105","360","338.75","150","450","349.44444444444446","280","410"
"40000","382","300","485","434.44444444444446","280","580","245.55555555555554","115","350","246.5","105","370","336.1111111111111","245","425","388.5","280","555","228.57142857142858","70","305","335","170","500","401.25","315","555","438.8888888888889","335","720"
"45000","393.8888888888889","250","515","426.6666666666667","310","565","249.44444444444446","175","285","319","235","505","347.22222222222223","245","445","376","275","480","244.28571428571428","120","295","280.625","215","340","355.625","165","430","436.6666666666667","295","670"
"50000","373.8888888888889","245","515","375.55555555555554","330","470","317.77777777777777","190","455","332","200","475","379.44444444444446","225","530","430.5","330","485","229.28571428571428","140","335","316.875","130","475","430.625","285","580","432.22222222222223","305","615"
"55000","372.77777777777777","290","530","457.5","320","625","292.77777777777777","150","430","285.5","145","410","264.44444444444446","220","380","404.5","325","500","252.85714285714286","170","355","245.625","100","355","359.2857142857143","330","395","438.8888888888889","255","695"
"60000","416.1111111111111","355","480","424.375","275","555","282.22222222222223","175","370","331.5","260","440","362.77777777777777","245","510","534","255","1125","242.85714285714286","115","405","365","180","555","434.2857142857143","330","550","523.8888888888889","320","1035"
"65000","424.44444444444446","375","495","503.125","295","650","313.8888888888889","205","475","358.5","255","560","340","255","450","413.5","315","580","275","165","425","292.5","170","380","392.85714285714283","230","605","509.44444444444446","395","645"
"70000","464.44444444444446","345","580","513.125","345","610","315.55555555555554","245","425","406","250","1010","336.1111111111111","235","485","450","345","585","279.2857142857143","115","485","314.375","240","395","377.85714285714283","275","490","559.4444444444445","445","650"
"75000","439.44444444444446","305","675","428.75","355","560","306.1111111111111","220","430","291","170","420","395.55555555555554","335","475","452","340","550","216.42857142857142","65","295","352.5","150","500","439.2857142857143","310","595","460.55555555555554","400","495"
"80000","425.55555555555554","355","500","707.8571428571429","410","1365","305.55555555555554","175","405","378.5","305","495","357.77777777777777","180","555","441.5","290","675","266.42857142857144","220","325","292.5","205","385","419.2857142857143","355","500","616.1111111111111","485","1300"
