"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX","Job Type: SR+DQN_1agents_1_50_10000_True - return","Job Type: SR+DQN_1agents_1_50_10000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_10000_True - return__MAX"
"5000","182","0","880","182","0","880","234","0","1180","234","0","1180","26","0","200","26","0","200","222.22222222222223","0","840","222.22222222222223","0","840","26","0","200","26","0","200","130","0","260"
"10000","188","0","1600","282","0","1340","174","0","780","160","0","980","28","0","180","384","0","900","208.88888888888889","0","1020","97.77777777777777","0","520","292","0","780","292","0","780","0","0","0"
"15000","346","0","1720","440","0","1040","131.11111111111111","0","580","274","0","940","110","0","320","342","0","960","331.1111111111111","0","1080","457.5","0","1020","73.33333333333333","0","460","742","160","1920","230","60","400"
"20000","516","20","2300","693.3333333333334","180","1380","275.55555555555554","0","1120","694","0","1220","120","0","440","652","0","2280","342.22222222222223","0","980","595","0","1260","177.77777777777777","20","680","674","80","1580","280","20","540"
"25000","332","20","900","482.22222222222223","0","1240","366.6666666666667","20","980","432","0","1020","166.66666666666666","0","460","506","0","1760","397.77777777777777","0","1560","447.5","0","1360","62.22222222222222","0","320","670","20","2620","820","0","1640"
"30000","274","40","480","485","0","2000","606.6666666666666","0","1780","558","60","1200","86.66666666666667","0","220","590","20","2020","304.44444444444446","0","920","955","0","2200","433.3333333333333","60","1360","592","0","1360","650","0","1300"
"35000","560","0","1160","392.5","80","1120","425","0","980","824","0","1840","295.55555555555554","0","860","474","80","1400","735.5555555555555","0","2020","515","0","1520","252.5","0","1220","326.6666666666667","100","580","300","220","380"
"40000","250","0","640","462.5","80","1620","380","20","1220","1220","140","3160","226.66666666666666","0","500","534","20","1260","245","0","860","625","0","1720","591.4285714285714","140","1360","668.8888888888889","80","1640","1070","1060","1080"
"45000","426","160","1240","420","0","900","945.7142857142857","20","2520","1284","200","2280","211.11111111111111","40","660","358","40","880","592.5","40","1140","512.5","0","1300","291.42857142857144","0","660","755.5555555555555","0","2920","10","0","20"
"50000","346.6666666666667","80","740","615","20","1300","825.7142857142857","260","2020","1402","340","3460","157.77777777777777","0","520","306","0","1040","312.5","0","1180","570","0","1360","571.4285714285714","0","1420","517.7777777777778","60","1080","250","0","500"
