"Step","Job Type: RDE+DQN_2agents_4_50_625_True - return","Job Type: RDE+DQN_2agents_4_50_625_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_625_True - return__MAX","Job Type: RDE+DQN_2agents_4_50_1250_True - return","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MIN","Job Type: RDE+DQN_2agents_4_50_1250_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_2500_True - return","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_2500_True - return__MAX","Job Type: RDE+DQN_2agents_1_50_5000_True - return","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MIN","Job Type: RDE+DQN_2agents_1_50_5000_True - return__MAX","Job Type: SR+DQN_1agents_4_50_1250_True - return","Job Type: SR+DQN_1agents_4_50_1250_True - return__MIN","Job Type: SR+DQN_1agents_4_50_1250_True - return__MAX","Job Type: PS+DQN_2agents_4_50_625_True - return","Job Type: PS+DQN_2agents_4_50_625_True - return__MIN","Job Type: PS+DQN_2agents_4_50_625_True - return__MAX","Job Type: SR+DQN_1agents_1_50_5000_True - return","Job Type: SR+DQN_1agents_1_50_5000_True - return__MIN","Job Type: SR+DQN_1agents_1_50_5000_True - return__MAX","Job Type: PS+DQN_2agents_1_50_2500_True - return","Job Type: PS+DQN_2agents_1_50_2500_True - return__MIN","Job Type: PS+DQN_2agents_1_50_2500_True - return__MAX","Job Type: SR+DQN_1agents_4_50_2500_True - return","Job Type: SR+DQN_1agents_4_50_2500_True - return__MIN","Job Type: SR+DQN_1agents_4_50_2500_True - return__MAX","Job Type: PS+DQN_2agents_4_50_1250_True - return","Job Type: PS+DQN_2agents_4_50_1250_True - return__MIN","Job Type: PS+DQN_2agents_4_50_1250_True - return__MAX"
"5000","138","64","212","138","64","212","83.2","16","208","83.2","16","208","132","16","188","132","16","188","59.6","20","156","59.6","20","156","132","16","188","132","16","188"
"10000","239.6","160","292","269.6","196","432","116.4","44","188","140","68","208","228.4","200","288","234.4","168","300","130.8","84","224","144","72","316","281.6","172","404","281.6","172","404"
"15000","268","204","384","226","152","288","196.8","132","296","222.66666666666666","124","432","231.2","176","312","253.2","164","352","122.8","48","192","195.6","112","296","259.6","176","292","242.4","148","292"
"20000","274.8","216","364","199.6","148","260","210.4","132","280","212.44444444444446","116","288","247.2","152","320","255.2","180","312","138.8","76","188","181.6","80","328","272.4","176","440","251.6","188","308"
"25000","273.6","232","312","242.8","116","364","274","128","464","220","152","320","242.4","160","396","274.4","204","340","177.6","96","240","222","152","272","277.6","188","376","274.8","148","396"
"30000","256.8","196","332","254.4","176","320","242.4","184","308","223.55555555555554","128","324","277.2","236","328","256.8","144","308","186.4","104","304","248","148","372","272.8","200","352","235.2","140","308"
"35000","293.6","232","344","283.6","188","368","250","128","392","247.11111111111111","188","316","270.8","196","412","307.2","240","388","198","104","316","247.6","200","296","296","240","356","279.6","164","428"
"40000","275.55555555555554","228","332","271.2","224","352","264.4","188","384","269.3333333333333","156","348","230.8","140","372","278","196","344","208.4","116","300","226","156","320","264","188","388","260.8","164","392"
"45000","274.22222222222223","220","364","256.8","176","368","242","96","336","264.44444444444446","200","332","268","180","356","280.8","204","372","197.2","128","244","230","152","288","275.2","220","332","275.6","164","388"
"50000","288.8888888888889","196","360","257.77777777777777","180","308","285.6","112","372","292","224","396","271.1111111111111","204","364","308","220","396","193.77777777777777","140","260","217.77777777777777","72","396","275.2","208","348","266.8","188","324"
"55000","329.3333333333333","224","404","270.6666666666667","184","376","285.2","168","416","264.44444444444446","112","364","276","220","324","284.8","220","364","230.22222222222223","152","352","255.55555555555554","136","372","279.2","212","404","294.8","204","376"
"60000","271","204","368","261.3333333333333","172","400","280.4","212","384","223.11111111111111","168","292","276","184","384","283.2","204","384","216","184","276","246.66666666666666","180","320","293.6","220","372","252.8","204","300"
"65000","268.5","164","380","255.11111111111111","216","344","240.8","168","304","254.66666666666666","144","380","288","236","352","293.3333333333333","196","388","258.6666666666667","128","376","266.22222222222223","152","408","294.8","208","396","318.8","184","424"
"70000","281.5","224","396","288.44444444444446","180","332","269.2","152","352","299.55555555555554","200","444","284.44444444444446","212","364","271.1111111111111","184","340","212","116","304","239.55555555555554","124","384","304","216","348","295.6","196","384"
"75000","279","240","308","325.77777777777777","212","472","243.6","200","292","205.33333333333334","80","280","278.22222222222223","148","396","285.77777777777777","200","408","215","84","264","290.22222222222223","188","392","310.4","252","408","322","216","468"
